book,author,publisher,price,detail
 Spring Cloud Alibaba 微服务架构实战派（上下册） ,,,¥115.57,
 WPS Office高效办公：会计与财务管理 凤凰高新教育出品 金山官方认证技能：金山办公专家（KVP）通过源自实际工作的经典案例，教你用专业方法轻松应对财务工作，让财务工作更高效，让财务工作更专业,凤凰高新教育,北京大学出版社,¥66.70,金山官方认证技能：金山办公专家（KVP）通过源自实际工作的经典案例，教你用专业方法轻松应对财务工作，让财务工作更高效，让财务工作更专业！
 Spring+SpringMVC+MyBatis从零开始学（视频教学版）(第2版） 掌握Spring 5.2.5、Spring MVC 5.2.5和MyBatis 3.5.4框架，快速提高企业应用开发能力,吴为胜,清华大学出版社,¥52.10,本书详细讲解SSM开发的核心技术，内容安排由浅入深、循序渐进、示例丰富。本书包括Spring 5.2.5、Spring MVC 5.2.5和MyBatis 3.5.4三大框架的基础知识和应用，*后提供一个新闻发布系统的实战项目，以培养读者使用SSM框架开发实际项目的能力。本书配套示例源码、课件以及教学视频。
 加速:现代社会中时间结构的改变 哈尔特穆特·罗萨 北京出 ,,,¥44.00,
 创新思维与TRIZ创新方法（创新工程师版） TRIZ创新方法得到国家层面的重视与推广，经过多年的努力，正在为国人所重视。如今，为了培养更多的创新型人才，一些高校已经启动相关课程的设置，以求在青年学生中加大学习和应用TRIZ创新方法的力度。本书T,周苏,清华大学出版社,¥66.00,本书从创新思维与创新方法的学习出发，面向 创新三师 （创新工程师、创新培训师、创新工程师）的理论学习。共15章和7个附录，是一本创新思维与创新方法的理论与实践相结合的优秀教材。配套微课教学视频，配套学习资源，读者可登录清华大学出版社网站获取。
 奔跑吧Linux内核入门篇（第2版） 笨叔的Linux操作系统私房菜教程书籍，助你深入理解Linux内核系统高级环境编程开发，涵盖上百个经典实验，提供配套学习资源。,笨叔,人民邮电出版社,¥96.00,1.涵盖上百个经典实验 2.提供配套学习资源 3.讲述如何在树莓派上实现一个小的操作系统 4.展示业内一线经验 5.通过实验帮助开发人员零基础开启Linux系统之旅，提高动手能力，增加项目实践经验 分析与运行Linux内核是培养读者系统软件设计能力的有效方法。然而，Linux内核的机制复杂、算法精妙、代码量庞大，因此初学者难以快速入门，并深入理解和灵活应用。本书结合作者多年的项目实践经验，剖析了源代码，是Linux内核方面的一本经典入门图书。 吴国伟， 大连理工大学 本书第1版得到了读者的一致好评。本书第2版新增了很多内容，尤其是操作系统方面的热门内容 文件系统和虚拟化。我印象*深刻的是利用树莓派实现一个小的操作系统。通过这样的综合实验，读者会对Linux内核有更深的理解。理论加动手实践是学习Linux内核的*途径之一。 陈莉君，西安邮电
 机器人感知系统设计及应用 根据机器人所处环境的不同，详细讲解机器人传感系统的设计方法及各类传感器的配置,乔玉晶,化学工业出版社,¥68.00,1、系统阐述了现代机器人常用传感器的原理及应用 2、介绍了机器人视觉系统、导航系统，移动机器人传感系统，焊接机器人传感系统的设计方法。 3、根据机器人所处环境的不同，详细讲解了每种机器人传感器配置的类型、测量信息、位置及数量等内容。 4、在具体的应用中，详细阐述了智能机器人对传感配件的要求。 5、注重多传感器融合的问题。
 神经网络与深度学习基础 人工神经网络－机器学习－高等学校－教材-自动化技术 - 计算机技术,刘珑龙,中国海洋大学出版社,¥48.70,
 秒懂WPS Office应用技巧 百万职场精英都在学的办公技巧书，全彩+视频，更有海量学习资源赠送,博蓄诚品,化学工业出版社,¥59.80,本书打破常规的大而全的模式，从实际应用技巧出发，对常用的WPS office操作技巧进行了重点讲解。 本书主要有如下特色： 1.内容丰富，实操性强。全书包含上百个常用典型技巧，结合几十个案例讲解，使读者不仅学得懂，还能用得明，从而真正应用到实际工作中。 2.全彩图解，视频讲解。全书采用彩色印刷，图文并茂，重点章节配备视频教学，每段视频时长在1分钟左右，可以随时随地边学边看，仿佛置身于抖音的世界，达到沉浸式学习新体验。 3.重点板块，贴心提示。书中从头到尾穿插着大量 注意事项 知识链接 经验总结 技能拓展 等环节，醒目直观，易于帮助读者关注到易忽略的点。 4.超值资源，优质服务。除同步讲解视频、同步电子书外，还额外赠送学习大礼包，包括各类电子书、教学视频、操作动图、海量办公模板及素材、PS笔刷等。同时，为读者提供
 STM32单片机应用与全案例实践 ,沈红卫,电子工业出版社,¥59.00,
 数字化转型之企业架构重塑 立足于企业数字化转型中架构重塑的探讨 展望企业数字化转型的愿景与路线图,周丹,清华大学出版社,¥59.20,本书阐述数字科技对企业生存和发展的影响，以及如何通过数字科技重塑企业架构。书中将结合作者在金融行业、国企信息化、复杂企业数字化转型、信创等领域多年不懈坚持和耕耘的经验，为企业安全、稳健实现数字化转型提供建设性意见和参考案例。书中探讨和尝试解答这些问题：
 人工智能：现代方法（第4版）（精装版） 系统性总结人工智能的方方面面，国际人工智能领域专家斯图尔特·罗素撰写人工智能百科书，时隔十年重磅更新，被全球全球1500多所学校采用的经典教材,斯图尔特·罗素,人民邮电出版社,¥268.50,1.全球1500多所学校采用的教材，国内众多高校选用。 2.配备丰富的教学资源，解决教师授课后顾之忧。 3.配套网站提供多种语言版本源代码，满足不同编程语言使用者的自学需要。 4.程序员入门人工智能领域的推荐书籍。
 Python自然语言处理——算法、技术及项目案例实战（微课视频版） 本书全面介绍了数据挖掘和商务智能的基础知识、主要技术、基于Python语言的商务应用生成技术。全书共12章，主要内容包括数据挖掘、深度学习、Seq2Seq、商务智能应用创建及部署、Tensorflow,中本一郎,清华大学出版社,¥44.90,2017年中国国务院印发《新一代人工智能发展规划》，提出了面向2030年新一代人工智能发展的指导思想、战略目标、重点任务和保障措施，部署构筑国家人工智能发展的优势，加快建设创新型国家和世界科技强国。人才是强国的关键，大学高校专业分类众多，对于相关专业的学生，如何学好人工智能系列课程，成为了当下教育改革关注的焦点之一。 本教材以Python语言为对象，紧扣人工智能主题，选举的实战实例涵盖医学、商务等多个领域，通过基础知识讲解，逐步过渡到综合实例的应用。
 AutoCAD 2022中文版室内装潢设计从入门到精通 百万工程师的选择，96集同步微视频，28个经典实例，20个综合演练，5套设计图集，7部速查手册,CAE技术联盟,清华大学出版社,¥74.80,【扫描封底「文泉云盘」二维码获取配套资源】 针对AutoCAD 2022版本全新编写，内容丰富！ 视频演示：96集(段)高清教学微视频，扫码学习效率更高 典型实例：28个经典中小型实例，用实例学习更专业 综合演练：20个经典综合实例演练，实战才是硬道理 实践练习：38个上机实践练习，动手会做才是真学会 工程图集：5套不同领域的大型设计图集及其配套的源文件和视频录像，总时长达8小时。 速查手册：7部速查手册，包括AutoCAD疑难问题汇总、AutoCAD应用技巧大全、AutoCAD经典练习题、AutoCAD常用图块集、AutoCAD快捷键速查、AutoCAD快捷命令速查和AutoCAD工具按钮速查。 【扫描封底「文泉云盘二维码」获取配套资源】
 接口测试方法论 web接口自动化软件测试，持续集成交付，系统地展示如何把测试的思维和接口测试的技术结合到一起，提升接口测试的能力,陈磊,人民邮电出版社,¥59.90,通过代码和工具，系统展示接口测试的方法和技术。 本书基于测试工具、测试代码和测试框架，系统展示了如何提升接口测试的水平。本书首先介绍接口测试涉及的技术、工具和编程知识，然后讲述接口测试框架、性能测试和服务解耦，讨论持续测试和智能化测试。通过本书，读者可以快速完成接口测试，优化接口测试代码，让测试框架更智能。 本书主要内容： 接口测试的技术储备； 实现接口测试自动化的方法； 接口测试框架的搭建和封装； 接口测试工具Postman的用法； 性能测试即代码，实现服务器端测试的覆盖的方法； 通过正确的解耦，让测试事半功倍； 持续测试的实现； 智能化测试的实现。
 健壮的Python 本书从添加代码注解、自定义类型、可扩展的Python、构建安全网络等方面，教你如何熟练掌握Python编程技能。,帕特里克·维亚福尔,机械工业出版社,¥104.20,你的Python项目是否正在变得越来越庞大？随着代码的扩展，调试和维护工作变得更加艰难，你是否感到痛苦？Python是一种容易学习和使用的语言，但这也意味着系统可以迅速发展到无法理解的程度。值得庆幸的是，Python具有帮助开发者克服可维护性困境的功能。 在这本实用的书中，作者Patrick Viafore告诉你如何限度地使用 Python的类型系统。你会看到用户定义的类型（如类和枚举），以及Python的类型提示系统。你还将学习如何使Python代码具有可扩展性，以及如何基于一个全面的测试策略构建安全网。利用这些知识和技术，你将编写更清晰、更易于维护的代码。 通过阅读本书，你将： ? 了解为什么类型在现代开发生态系统中是必不可少的。 ? 了解类、字典和枚举等类型选择是如何反映特定意图的。 ? 在不加剧臃肿的情况下使Python代码在未来具有可扩展性。 ? 使用流行
 啊哈 算法 算法导论学习指南 啊哈磊 ACM和信息学竞赛备考 玩转算法和数据结构的萌书 算法入门 官方正版 出版社直发,,,¥30.90,
 智能之门：神经网络与深度学习入门（基于Python的实现） ,胡晓武,高等教育出版社,¥68.00,
 TypeScript全栈开发 探索TypeScript的奥秘，领略灵活、有效、可靠的Web开发之美！系统讲述TypeScript的基础知识和实战应用，帮助读者提升开发水平，在大规模JavaScript应用中游刃有余。,赵卓,人民邮电出版社,¥67.30,1.由业界专业、实战经验丰富开发人员编写，系统深入讲解TypeScript，内容丰富、通俗易懂，帮助读者快速提高开发水平。 2.覆盖了从基础知识到实战应用的全部内容，包括进阶知识和实际项目中的应用，是一本适合初学者和有经验开发人员的完整指南。 3.作为JavaScript的超集，TypeScripts可以兼容所有已有的JavaScript代码，也扩展了JavaScript的语法，减少了开发错误。这使得TypeScript成为一个非常实用的工具，本书将教你如何使用它。 4.详细介绍了TypeScript的编译方法、调试技术以及自动检查代码的正确性等技巧，帮助开发人员快速提高工作效率。 5.TypeScript 可以用于前端和后端项目，应用场景广泛。不管是做电商网站还是企业级应用系统，本书都能给你提供best实践和解决方案。
 云计算和大数据服务——技术架构、运营管理与智能实践 涵盖云计算、大数据与数据智能、服务的技术运营、智能运营、安全技术与管理、服务质量管理、组织能力等领域,陈赤榕,清华大学出版社,¥168.00,《云计算和大数据服务 技术架构、运营管理与智能实践》采用理论与实践相结合的形式，系统阐述云计算和大数据服务的具体实现。 云计算和大数据服务战略的落地，包括技术构建和运营管理、新兴的人工智能技术的应用，以及组织能力的建设。针对这一目标，全书分为七部分：云计算技术、大数据及数据智能、服务的技术运营、智能运营、安全技术与管理、服务质量管理和组织能力。《云计算和大数据服务 技术架构、运营管理与智能实践》的目的是帮助读者对这些云计算和大数据的重要专题从基本概念、发展思路到解决方案有一个系统认识。 本书具有非常强的可读性和实践指导意义，可作为云计算和大数据企业的高层管理人员和技术架构师的参考读物，也可以作为高校相关专业师生的教学参考用书。
 Autodesk Fusion 360 官方标准教程 46届世界技能大赛工业设计技术赛项和原型建模赛项指定比赛工具，参赛选手参考用书。深度解析软件基础与核心原理，实操案例丰富，配套资料齐全，赠送素材、课件和教学视频,宋培培,清华大学出版社,¥111.70,Autodesk Fusion360是Autodesk公司推出的集工业设计、结构设计、机械仿真以及 CAM 于一身，支持跨平台和通过云端计算、协作和分享的设计平台。 Autodesk Fusion360是第46届世界技能大赛工业设计技术赛项和原型建模赛项指定比赛工具，《Autodesk Fusion 360 官方标准教程》为世赛参赛选手参考用书。 Autodesk Fusion360是2022年中国大学生机械工程创新创意大赛机械创意赛道（第十一届机械产品数字化设计大赛）指定参赛工具，《Autodesk Fusion 360 官方标准教程》为参赛选手参考用书。 《Autodesk Fusion 360 官方标准教程》不使用英文的命令形式进行操作，但是为了便于参加世界技能大赛的选手使用，作者在教材的附录中增加了中英文界面对照、工具集中英文对照和常用工具命令面板中英文对照等三级中英文对照，方便师生参考查阅。通过详细介绍的工具按钮和操纵步骤进行练习，对每个实
 中老年人轻松玩转智能手机 包括智能手机的方方面面,万九如,清华大学出版社,¥37.60,中老年人学习智能手机手册 微信、支付宝、网上购物、网上生活全掌握
 软件方法（上）：业务建模和需求（第2版） ,潘加宇,清华大学出版社,¥51.00,
 Python深度学习从零开始学 从模型和实验入手，快速Python掌握深度学习技术,宋立桓,清华大学出版社,¥79.00,本书以通俗易懂的方式详细介绍深度学习的基础理论及其相关知识，同时提供图像识别、情感分析、迁移学习、人脸识别、图像风格迁移、生成对抗网络等案例引导读者入门深度学习。 配套示例源代码分别提供TensorFlow 1.x与2.x的版本。
 C语言趣味编程100例（配光盘） 【100个C语言趣味编程题，50小时C语言学习视频，赠送758个编程实例源文件，培养编程兴趣，拓宽编程思维，提高编程能力，增强求职竞争力 】,贾蓓,清华大学出版社,¥37.60,精讲100个不同类型的C语言趣味编程题的求解过程 培养编程兴趣，拓宽编程思维，提高编程能力，增强求职竞争力 50小时教学视频 + 758个实例源文件 + 61个程序流程图 精选的实例都兼顾了程序的趣味性和实用性，涵盖了C程序设计的基础知识和常用算法 每个实例都遵循先提出问题，再分析问题，*后实现的写作风格，并给出了详细的实现代码和注释 多数实例来自编程大赛和企业面试题，具有很强的实用性 超值DVD光盘中提供了大量的C语言教学视频与实例源文件 C语言与算法推荐阅读（点击链接查看） 《明明白白学通C语言（二维码版）》 （手机、电脑两种平台学C语言） 《C语言编程实 战宝典》（红宝书，全面、深入学习C语言） 《C语言入门很简单》（C语言菜鸟入门的不二选择！9.8小时配套教学视频
 Excel函数与公式从入门到精通（第2版·微课视频版）wps office excel书籍教程教材 vba 办公应用从入 ,精英资讯,水利水电出版社,¥73.50,三篇制结构： 有基础、有提升、有实操，既不单一讲基础、也不单纯讲技巧，而是将整个知识点贯穿起来，重视思路的讲解及操作方法的传授，有理念重实操，才能让学习更有效率。 视频讲解： 本书录制了330集同步教学视频，包含了Excel中各常用函数与公式中的功能介绍和实例操作，手机扫描书中二维码，可以随时随地看视频。 内容详尽： 本书以实际办公数据为蓝本，涵盖了日常办公中经常用到的Excel函数与公式的知识与应用技巧，介绍过程中结合实例演示辅助理解，科学实用，快速提升办公技能。 实例丰富： 一本书若光讲理论，难免会让你昏昏欲睡；若只讲实例，又怕落入 知其然而不知其所以然 的困境。所以本书结合大量实例对Excel函数与公式的使用方法和技巧进行了详细解析，读者可以举一反三，活学活用。 图解操作： 本书采用图解模式逐一介绍
 ChatGPT 未来已来 《畅销书》一本为普通人量身打造的Chat GPT指南 系统全面地介绍了Chat GPT的各种应用场景和功能,向凌云,光明日报出版社,¥68.00,
 WPS Office 高效办公从入门到精通（微课视频版）wps教程书籍2023版 AI生成 办公软件自学教材 excel WPS 2023版本+WPS AI+1193分钟同步视频教程+同步学习素材+2000个常用办公模板+WPS二级考试题+3套计算机二级考试模拟试题详解，技能提升与认证考试两不误,精英资讯,水利水电出版社,¥78.20,"1.视频讲解，快速入门:本书录制了1193分钟的同步视频讲解，读者用手机扫描书中二维码，或者下载到计算机中观看。看视频讲解，快速入门。 2.内容全面，讲解细致:本书全面涵盖了WPS文字、表格、演示文稿以及wPS Al的使用方法和技巧，同时也包含了思维导图、流程图、公式与函数、数据透视表等较深层次的应用。每章配有过关练习题，帮助读者巩固所学知识，掌握重难点。3.图解操作，步骤清晰;本书采用图解模式逐步介绍各个功能及其应用技巧，一步一图，清晰直观,简洁明了，可使读者在最短的时间内掌握相关知识点，快速解决办公中的疑难问题。 4.在线交流学习;本书提供QQ交流群， 三人行，必有我师 ，读者可以在群里相互交流，共同进步。"
 FineBI数据可视化分析 ,罗倩倩,电子工业出版社,¥39.40,
 日系图书用Python编程和实践！区块链教科书 从零创建简单区块链程序 比特币 元宇宙 数字货币 新金融底层技术 p2p 一本新型的、能看懂的区块链、比特币入门书 从零基础到创建简单区块链程序 图解区块链技术,FLOC,水利水电出版社,¥82.70,本书是日本著名的 FLOC区块链大学 编写的一本概括介绍性书籍，用Python示例解释了区块链机制和基础技术，介绍了区块链如何与Python协同工作。 本书用通俗易懂的语言、结合图示和代码，系统介绍了区块链技术的大框架，并将重点放在理解 框架 所必需的内容，可以让读者对区块链技术有一个整体认识并掌握区块链技术的基础知识，引领读者快速入门，并为后续深入学习区块链技术奠定基础。 本书以零基础读者为基础，引导读者一步步用Python创建出具备基础功能的区块链程序，加深对区块链技术的理解。 每章后都设置有课后练习题，引导读者积极思考，巩固所学内容，提高动手能力。 本书采用双色印刷，版式精美，学习不枯燥。 本书特色 以培养区块链工程师、介绍人力资源和提供职业支持而闻名的FLOC，和由该公司运营的FLOC区块链大学
 智能化海洋物联网：云服务体系及应用 系统性的涉海信息化知识体系，聚焦海洋物联网的应用领域，关注技术原理，强调业务场景。,中国船舶集团有限公司系统工程研究院组,中国科学技术出版社,¥89.10,系统性的涉海信息化知识体系 ， 聚焦海洋物联网的应用领域，关注技术原理，强调业务场景。 海上物联网，智慧乘风破浪！ 海洋物联网，不单单是我国智能化高端应用的体现，更彰显了人类对深海的探索与追求！
 当世界年轻的时候 参加西班牙内战的中国人 1936-1939 倪慧如 ,,,¥31.00,
 自动控制原理与设计（第六版） ,富兰克林,电子工业出版社,¥66.70,本书是自动控制领域的经典著作
 文本挖掘与信息检索概论 讲解文本挖掘、信息检索的主流算法及典型实例，提供实例的Python源码和练习,蔡晓妍,清华大学出版社,¥36.70,可作为人工智能、数据科学、计算机、软件工程等专业的高年级本科生和研究生教材，也对从事相关工作的科研人员具有一定参考价值。
 Excel 高效办公——数据处理与分析（案例版） Excel Home、微博@MrExcel博主推荐，人力/生产/销售/财务/投资/电商/在线教育/短视频运营，8大类数据，33个分析案例，10小时视频教学。,神龙工作室,人民邮电出版社,¥89.90,8大类数据：人力资源/生产/销售/财务/投资决策/电商/在线教育/短视频运营，覆盖刚需及热门应用领域； 33个分析案例：均来源于实际工作，读者不仅可以在学习过程中学会数据分析方法，还可以掌握数据分析思路； 10小时图书配套视频，学习更轻松，每个难点配备二维码，扫码即看； 额外赠送 3 小时Excel 数据处理与分析基本技能视频，扫清入门障碍； 2 小时函数/ 数据透视表/ 图表应用视频，读者可按需强化学习； 3 小时PPT 设计视频，关键时刻不要输在表达上！
 精通Microsoft 365云计算管理SharePoint Online篇 ,世纪互联蓝云公司,电子工业出版社,¥70.00,
 PHP+MySQL动态网站开发案例课堂（第3版） 精选热点案例和流行技术，案例易学，有趣，容易快速入门。支持扫码看视频，提供流行项目开发的全程操作，附赠源代码和教学PPT等大量超值资源。,刘春茂,清华大学出版社,¥59.20,《PHP MySQL动态网站开发案例课堂（第3版）》的特色如下： 由浅入深，循序渐进 本书以初、中级程序员为读者对象，先介绍PHP基础知识，再介绍PHP核心知识，然后介绍高级内容，后通过热门项目的制作帮助读者积累项目开发经验。 案例实用、专业，轻松易学 通过经典的案例学习项目开发技能是非常好的学习方式。本书每个核心知识点都配有一个实用案例，通过对简单易懂的实用案例进行分析和操作指导，让读者学起来简单轻松，操作起来有章可循。 视频讲解详细，随时随地学习 书中讲解的知识均配有视频教学，这些视频可手把手引领读者快速入门，让读者体会编程的快乐。这些视频通过手机扫码即可观看，可以随时随地解决学习中的困惑。 超多容量优质资源 赠送大量优质资源，包括实例源代码、教学幻灯片、本书精品教学视频、教学大纲、16个热门PHP项目完整
 ASP.NET Core技术内幕与项目实战 ,杨中科,人民邮电出版社,¥89.20,作者说：写一本关于.NET Core的书并不难，但是写一本关于.NET Core的好书太难了！如果只是为了写一本讲解.NET Core的书，我只要照着微软的官方文档去改编一下就行了，但是这样编出来的书有什么价值呢？微软的.NET文档所讲的内容已经非常丰富了，我没必要再去把它们重复一遍。我需要讲解微软文档中没有讲到的内容，读者也需要这样一本书： 讲解相关技术背后的原理； 讲解相关技术应用在哪些场景中； 讲解相关技术有哪些优缺点； 讲解相关技术在项目中如何应用； 讲解真实项目的架构和技术实现。 为了达成上述目标，我在编写本书的时候做了大量的底层源代码的研究工作。比如，在讲解 异步编程 的时候，我翻阅了.NET中异步编程的源代码，从而帮助读者更好地理解和应用异步编程；又如，在讲解 表达式树 的时候，我翻阅了EF Core的表达式树翻译引
 你不可不知的50个数学知识 人民邮电出版社 新华书店正版，关注店铺成为会员可享店铺专属优惠，团购客户请咨询在线客服！,,,¥19.50,《你不可不知的50个数学知识》中，Tony Crilly通过50篇精炼的小文章阐述了数学中的50个概念，综述了这门令人生畏却又到关重要的学科，这些知识含古涉今，内容深入浅出，既道理论，也讲实践，让我们对自己所处的世界有了更加深刻的理解和认知。 这50个知识从零的概念开始，以一个数学中的未解之谜结束，主要内容包括： 数学的起源，从古埃及的分数到古罗马的数字系统： π、质数、斐波那契序列和黄金比例的近乎神秘的意义： 微积分、统计学和代数的具体应用，以及关于虚数应用的真实的例子； 相对论、混沌理论、分形、遗传学和超平面这些伟大的思想： 数独、解密、理财以及复利背后的秘密： 数学中的全新突破，包括对费马大定理和悬赏百万巨奖的黎曼猜想的求解。 谁发明了0？为什么1分钟有60秒？无穷大是多大？平行线何时相交？
 Java EE企业级应用开发实战（Spring Boot+Vue+Element） 企事业单位信创开发指导手册，一站式Java EE企业级应用开发，源自作者20多年多行业深耕开发经验，助你在 Java 企业级应用开发领域快速成长！,李磊,人民邮电出版社,¥59.80,主流成熟：采用主流的Spring Boot实现后台、采用成熟的Vue 2和Element实现前端。 宏观全面：既介绍企业级应用的技术架构与演进趋势，又提供 Java EE企业级应用开发的技术工具与真实案例（企业级应用基础开发框架、企业级门户网站）。 专业实用：作者在制造、通信、水利、金融、能源等领域从业二十多年，本书来源于作者在 Java企业级应用开发实战中的经验总结，特别适合作为企事业单位信创开发的指导手册。
 ZBrush+3ds Max+TopoGun+Substance Painter次世代游戏建模教程（全彩） 案例引入教学，商业案例加持。以实际工作内容为教学内容，*软件体系制作,姜玉声,电子工业出版社,¥79.00,1、 配套资源齐备，视频，源文件，素材，扩展资源，授课ppt 2、从事游戏建模多年的游戏人亲手制作 3、全案例，全流程，全商业
 数据中心手册 由来自7个国家的51位数据中心专家撰写，由来自24家单位的34位数据中心专家精准翻译呈现,耿怀渝,机械工业出版社,¥188.90,
 MicroPython内核开发笔记——基于MM32F3微控制器 面向MicroPython开发者的技术指南，干货满满。分析MicroPython内核，总结移植方法，可以一边阅读本书，一边进行编程实践，最终完成一个自己的MicroPython移植。,苏勇,清华大学出版社,¥66.70,撰写本书的目的，原本是梳理之前在基于MM32F3270微控制器上移植MicroPython的过程中总结出的开发规范，以及一些奇思妙想，整理成文稿后，可为软件组的其他同事在更多平台上移植MicroPython和深入开发编写的开发说明，撰写的重点在于如何移植现有的模块。
 OpenCL异构计算 ,胡正伟,清华大学出版社,¥44.50,
 Creo 6.0曲面设计教程 专注于曲面，适合初学者学习；采用新版本编写,北京兆迪科技有限公司,机械工业出版社,¥64.90,? 内容全面，与其他同类书籍相比，包括更多的Creo曲面设计内容。 ? 范例丰富，对软件中的主要命令和功能，先结合简单的范例进行讲解，然后安排一些较复杂的综合范例帮助读者深入理解、灵活运用。 ? 讲解详细，条理清晰，保证自学的读者能独立学习和实际运用书中介绍的Creo曲面设计功能。 ? 写法独特，采用Creo 6.0软件中真实的对话框、操控板和按钮等进行讲解，使初学者能够直观、准确地操作软件，从而大大提高学习效率。 ? 附加值高，本书附带1张多媒体DVD学习光盘，盘中有大量曲面设计技巧和具有针对性实例的教学视频并进行了详细的语音讲解，可以帮助读者轻松、高效地学习。
 LaTeX入门 ,刘海洋,电子工业出版社,¥43.40,
 人工智能启蒙（第一册） ,林达华,商务印书馆,¥17.30,★全球领先的人工智能平台、全球*价值的 AI 创新企业 商汤科技，联手知名教育专家和小学优秀教师共同编写 ★面向小学生深入浅出，完善人工智能教育体系 ★ 商汤科技以*前沿的AI 技术赋能，深入浅出地设计AI教学项目制课程，让孩子们及早与人工智能这一前沿领域亲密接触，真切了解 AI 在世纪生活和工作中的应用和发展 ★ 帮助孩子建立对 AI 的科学认知，初步掌握AI技术原理和基本能力，理解AI给未来所带来的机遇和挑战 ★ 图文并茂、深入浅出、生动有趣。内容包括人工智能概览、手机中的人工智能、迷你小车、图像分类与物体检测、计算机视觉、语音识别、无人驾驶、智能数据生成、人工智能在更多行业的运用、智慧校园等。 ★ 根据小学生的认知规律，以漫画情景引入话题，渐次介绍相关基本知识，使学生对人工智能现有的领域和方向以及常见的
 Android移动安全攻防实战（微课视频版） “极牛众星计划”图书，系统论述Android应用加固领域相关攻防技术，全面涵盖软件逆向、攻防实战以及安全开发。配有课件、源代码、参考资料等。,叶绍琛,清华大学出版社,¥54.60,网络空间是继陆海空天后的第五主权空间，网络空间安全事关国家安全。近年来，随着《网络安全法》和网络安全等级保护标准的推进落实，我国网络空间安全产业逐渐发展成熟，广大高等院校也相继开设网络安全相关专业，由于软件逆向工程方向技术原理复杂、实战难度大，导致市场上缺少既重视理论技术、又重视攻防实战的技术书籍。本书分4篇（基础篇、理论篇、工具篇、实战篇），立体化呈现了Andriod移动应用安全攻防与逆向分析。 为方便读者高效学习，快速掌握Android移动安全理论与逆向分析的实践，作者精心制作了教学课件（全13章，超过400页）、参考开源项目源代码（超过70万行）、电子资料（超过500页）及配套视频教程（21个微课视频）等资源。
 前端自动化测试框架——Cypress 从入门到精通 ,蔡超,电子工业出版社,¥65.00,Cypress能够让软件开发实现并行测试，持续集成；专有元素定位，框架级别元素自动等待，原生支持Mock；专有TestRunner，命令执行细节全景回放呈现，定位问题更加精准。越来越多的国际大公司使用Cypress提升测试效率，学习Cypress自动化测试，正是趋势所在。 知名测试架构师蔡超老师在软件开发领域摸爬滚打15年，从多家知名外企成长，精心创作的这本书，集知识、经验、案例一书，并配180分钟视频面对面讲授，让你轻松学会：一个工具实现DevOps流水线；一个框架集成API测试和UI自动化测试；创建您自己的自动化测试框架
 全3册】CCF中学生计算机程序设计 入门篇基础篇提高篇 CCF中学生计算机程序设计教材noip竞赛中学生计算机编程经典教 正版图书 品质保障 优质服务 发货及时 售后无忧,,,¥79.00,
 Django + Vue.js实战派——Python Web开发与运维 Django/Vue.js/Python/前后端分离/单元自动化测试/Postma/Redis/MySQL/Docker/Prometheus,杨永刚,电子工业出版社,¥70.40,
 Metasploit渗透测试指南（修订版） ,David,电子工业出版社,¥58.80,自2013年首次问世以来，本书迅速掳获了从业人员的芳心。作为*一本经官方团队亲自评审并高度认可（ 现今已有*好的Metasploit框架软件参考指南 ）的著作，本书不仅涵盖了基础的工具和技术，也深入分享了如何实施渗透测试的方法与经验。四位来自不同领域的资深黑客作者从不同的视角无私奉献了他们的技巧与心得：既贡献了企业安全架构上的经验，也端出了安全漏洞挖掘和渗透代码开发的 私房菜 。 本次的修订版，在译者的精心组织与编排下完成，主要的修订在于：基于Metasploit*的版本复现并更新了原书的实验案例，同时考虑到国情与本地化的需求，将关键的实验对象、分析工具等换成了国内读者更容易接触和使用的替代品。这使读者能更容易通过复现实验过程，深刻而快速地掌握相关渗透技巧。 译者来自诸葛建伟老师的团队。诸葛建伟老师是XCTF联赛
 智能制造装备及系统 “能制造系列丛书”之一，我国近年来对智能装备重视程度越来越高，缺乏智能装备相关权威书籍，迫切需要指导智能装备研究的图书。本书针对从事智能装备研究与开发技术人员，定位于智能装备基础类技术图书。,王立平,清华大学出版社,¥81.60,本书是 十三五 重点图书 智能制造系列丛书 之一，阐述智能装备定义、特征和分类，智能装备重要性、产业特点及发展现状，与智能制造的关系，就高档数控机床及基础制造装备、自动化成套生产线、智能专用装备等典型智能装备，以及智能数控系统、智能电主轴等智能装备关键核心部件技术与发展现状给出深入阐述。
 3D计算机视觉：原理、算法及应用 ,章毓晋,电子工业出版社,¥149.00,图像处理领域专家章毓晋教授全新力作； 理论讲解 应用示例； 内容全面，讲解透彻，全篇干货。
 新书《树叶船》《 吹咆泡》中英文对照 张俊以著 两本 ,,,¥36.00,
 Hadoop大数据技术项目化教程 ,石慧,电子工业出版社,¥51.60,
 Excel实战技巧精粹（第2版） ExcelHome出品 函数图表VBA数据分析技法宝典 从社区数百万技术交流帖中挖掘出的实用技巧，一招顶“一万招”的“懒人技法”，变Excel为提升效率的终极大杀器！,Excel,北京大学出版社,¥81.00,1.全新：全新版本重磅升级，多位微软全球有价值专家通力打造； 2.精华：从社区数百万技术交流帖中挖掘出的实用技巧； 3.高效：一招顶 一万招 的 懒人技法 ，变Excel为提升效率的终极大杀器； 4.附赠学习资源：免费赠送书中相关案例文件，供读者参考练习、快速上手。
